index,ID,name-surname,class-room,father-name,father-phone,father-email,mother-name,mother-phone,mother-email,address
0,123456,ด.ช. สมชาย สบายมาก,1/1,นาย สมปอง สบายมาก,099-999-9999,sompong@gmail.com,นาง สมหญิง สบายมาก,099-999-9999,somying@gmail.com,12/34 กรุงเทพ ประเทศไทย 10000
0,123457,ด.ช. โชคชัย ใจดี,1/1,นาย โชคดี ใจดี,099-999-9999,chokchai@gmail.com,นาง โชคร้าย ใจดี,099-999-9999,chokrai@gmail.com,63/12 กรุงเทพ ประเทศไทย 10000
1,,,,,,,,,,
2,,,,,,,,,,
3,,,,,,,,,,
4,,,,,,,,,,
5,,,,,,,,,,
6,,,,,,,,,,
7,,,,,,,,,,
8,,,,,,,,,,
9,,,,,,,,,,
10,,,,,,,,,,
11,,,,,,,,,,
12,,,,,,,,,,
13,,,,,,,,,,
14,,,,,,,,,,
15,,,,,,,,,,
16,,,,,,,,,,
17,,,,,,,,,,
18,,,,,,,,,,
19,,,,,,,,,,
20,,,,,,,,,,
21,,,,,,,,,,
22,,,,,,,,,,
23,,,,,,,,,,
24,,,,,,,,,,
25,,,,,,,,,,
26,,,,,,,,,,
27,,,,,,,,,,
28,,,,,,,,,,
29,,,,,,,,,,
30,,,,,,,,,,
31,,,,,,,,,,
32,,,,,,,,,,
33,,,,,,,,,,
34,,,,,,,,,,
35,,,,,,,,,,
36,,,,,,,,,,
37,,,,,,,,,,
38,,,,,,,,,,
39,,,,,,,,,,
40,,,,,,,,,,
41,,,,,,,,,,
42,,,,,,,,,,
43,,,,,,,,,,
44,,,,,,,,,,
45,,,,,,,,,,
46,,,,,,,,,,
47,,,,,,,,,,
48,,,,,,,,,,
49,,,,,,,,,,
50,,,,,,,,,,
